#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
gamer;Game Master;Expert en jeux;Meisterspieler;;Maestro de juego;;;;;;;;;x
gamer_desc;This character is renowned as an avid and masterful game player - anything from chess to tabula, to exotic pachisi.;Ce personnage est connu pour être un joueur expert. Les échecs, le jeu de jacquet ou l'exotique Pachisi, rien ne lui échappe.;Diese Person ist bekannt als eifriger und meisterlicher Spieler von Spielen – ihre Palette reicht von Schach über Tabula bis hin zum exotischen Pachisi.;;Este personaje es célebre como un jugador ferviente y magistral de todo, del ajedrez a tabula, pasando por el exótico parchís.;;;;;;;;;x
IS_NOT_MARRIED_TO;Is NOT married to §Y$WHO$§!;N'est PAS marié(e) à §Y$WHO$§!;Ist NICHT mit §Y$WHO$§! verheiratet;;NO está casado/a con;;;;;;;;;x
IS_MARRIED_TO;Is married to §Y$WHO$§!;Est marié(e) à §Y$WHO$§!;Ist mit §Y$WHO$§! verheiratet;;Está casado/a con §Y$WHO$§!;;;;;;;;;x
nick_the_shrewd;the Shrewd;le Malin;der/die Kluge;;el sagaz;;;;;;;;;x
nick_the_wily;the Wily;la Ruse;der/die Listige;;el Astuto;;;;;;;;;x
nick_the_fox;the Fox;le Renard;der/die Füchsin;;el Zorro;;;;;;;;;x
nick_the_jovial;the Jovial;le Jovialiste;der/die Heitere;;el Jovial;;;;;;;;;x
nick_the_jolly;the Jolly;la Joie;der/die Muntere;;el Alegre;;;;;;;;;x
nick_the_gracious;the Gracious;la Grâce;der/die Anmutige;;el Gentil;;;;;;;;;x
trade_route;Trade Route;Route commerciale;Handelsroute;;Ruta comercial;;;;;;;;;x
desc_trade_route;This province has a thriving trade with a foreign realm bringing in exotic goods.;Cette province possède une route commerciale prospère qui apporte des biens exotiques.;Diese Provinz betreibt florierenden Handel mit einem ausländischen Reich und importiert exotische Waren.;;Esta provincia tiene un floreciente comercio con un reino extranjero que trae mercancías exóticas.;;;;;;;;;x
stone_quarry;Stone Quarry;Carrière de pierres;Steinbruch;;Cantera de piedra;;;;;;;;;x
desc_stone_quarry;A stone quarry in this province produces a surplus of cheap building materials.;Une carrière de pierres située dans cette province fournit un surplus de matériaux de construction bon marché.;Ein Steinbruch in dieser Provinz produziert einen Überschuss an günstigem Baumaterial.;;Una cantera en esta provincia produce un exceso de materiales de construcción baratos.;;;;;;;;;x
leaning_tower_bad;Leaning Tower;Tour penchée;Schiefer Turm;;Torre inclinada;;;;;;;;;x
desc_leaning_tower_bad;A leaning tower dominates the landscape shamefully for the founder.;Une tour penchée domine le paysage, à la grande honte de son constructeur.;Ein schiefer Turm bestimmt das Landschaftsbild, zur Schande seines Erbauers.;;Una torre inclinada domina el paisaje, para vergüenza del constructor.;;;;;;;;;x
leaning_tower;Leaning Tower;Tour penchée;Schiefer Turm;;Torre inclinada;;;;;;;;;x
desc_leaning_tower;A leaning tower dominates the landscape. This spectacular sight attracts people from afar.;Une tour penchée domine le paysage. Ce spectacle attire les visiteurs de très loin.;Ein schiefer Turm bestimmt das Landschaftsbild. Diese spektakuläre Sehenswürdigkeit zieht Besucher von weither an.;;Una torre inclinada domina el paisaje. Esta vista espectacular atrae gente de lejos.;;;;;;;;;x
aspiring_trader;Aspiring Trader;Aspirant commerçant;Angehender Händler;;Aspirante a comerciante;;;;;;;;;x
desc_aspiring_trader;This character is starting to learn the art of making money and fame from money.;Ce personnage commence à apprendre l'art de faire de l'argent avec de l'argent.;Diese Person erlernt gerade die Kunst des Geldverdienens und wie man durch Geld zu Ruhm kommt.;;Este personaje comienza a aprender el arte de ganar dinero y fama con el dinero.;;;;;;;;;x
trader;Trader;Marchand;Händler;;Comerciante;;;;;;;;;x
desc_trader;This character has learned how to attract money to his coffers in all kinds of ways.;Ce personnage sait comment faire entrer l'argent dans ses coffres par toutes sortes de moyens.;Diese Person hat gelernt, wie sie auf verschiedenste Arten und Weisen ihre Säckel füllen kann.;;Este personaje ha aprendido cómo atraer el dinero a sus arcas de todas clases de formas.;;;;;;;;;x
business_contacts;Business Contacts;Relations d'affaires;Geschäftskontakte;;Contactos comerciales;;;;;;;;;x
desc_business_contacts;This character has helped to create a thriving business climate in the realm.;Ce personnage a aidé à la création d'un climat d'affaires prospère dans le royaume.;Diese Person hat dazu beigetragen, ein positives Geschäftsklima im Reich zu erzeugen.;;Este personaje ha ayudado a crear un clima comercial próspero en el reino.;;;;;;;;;x
maze_pavilion;Pavilion;Pavillon;Pavillon;;Pabellón;;;;;;;;;x
desc_maze_pavilion;This character has a romantic and secluded pavilion in [Root.GetHerHis] garden.;Ce personnage possède un pavillon romantique caché au fond de son jardin.;Diese Person hat einen romantischen und abgelegenen Pavillon in ihrem Garten.;;Este personaje tiene un pabellón romántico y aislado en [Root.GetHerHis]jardín.;;;;;;;;;x
building_towards_heaven;Building Towards Heaven;Vers les cieux;In den Himmel bauen;;Edificio hacia el Cielo;;;;;;;;;x
desc_building_towards_heaven;The clergy don't really like people building their own stairways to heaven.;Le clergé n'apprécie pas vraiment ceux qui comptent construire des escaliers vers le paradis.;Der Klerus ist nicht begeistert, wenn Menschen ihre eigene Himmelsleiter erbauen.;;Al clero realmente no le gusta la gente que construye sus propias escaleras al cielo.;;;;;;;;;x
maze_fountain;Fountain;Fontaine;Springbrunnen;;Fuente ;;;;;;;;;x
desc_maze_fountain;This character has a large fountain in [Root.GetHerHis] garden.;Ce personnage possède une grande fontaine dans son jardin.;Diese Person hat einen großen Springbrunnen in ihrem Garten.;;Este personaje tiene una fuente grande en [Root.GetHerHis]jardín.;;;;;;;;;x
maze_fountain_extravagant;Fountain;Fontaine;Springbrunnen;;Fuente;;;;;;;;;x
desc_maze_fountain_extravagant;This character has a large fountain in [Root.GetHerHis] garden filled with wine.;Ce personnage possède une grande fontaine remplie de vin dans son jardin.;Diese Person hat einen großen Springbrunnen in ihrem Garten, der mit Wein gefüllt ist.;;Este personaje tiene una fuente grande en [Root.GetHerHis] jardín, llena de vino.;;;;;;;;;x
great_tower;Great Tower;Grande tour;Großer Turm;;Gran torre;;;;;;;;;x
desc_great_tower;This character is the founder of a great tower.;Ce personnage a construit une grande tour.;Diese Person ist der Erbauer eines großen Turms.;;Este personaje construyó una gran torre.;;;;;;;;;x
opinion_trade_partner;Trade Partner;Partenaire commercial;Handelspartner;;Compañero comercial;;;;;;;;;x
opinion_disrespecting_culture;Disrespecting Culture;Mépris culturel;Geringschätzen einer Kultur;;Falta al respeto a la cultura;;;;;;;;;x
opinion_fine_gift;Fine Gift;Beau cadeau;Schönes Geschenk;;Buen regalo;;;;;;;;;x
opinion_religious_quarrel;Religious Quarrel;Querelle religieuse;Glaubensstreit;;Disputa religiosa;;;;;;;;;x
opinion_family_statues;Family Statues;Statues familiales;Familienstatuen;;Estatuas de la familia;;;;;;;;;x
opinion_religious_agenda;Religious Agenda;Projet religieux;Religiöse Agenda;;Agenda religiosa;;;;;;;;;x
opinion_annoyed;Annoyed;Contrarié;Verärgert;;Enojado;;;;;;;;;x
wol_steward_1;Amateur Steward;Intendant amateur;Angehender Verwalter;;Administrador aficionado;;;;;;;;;x
desc_wol_steward_1;This character is an aspiring steward who seeks to master the arts of administration and governance.;Ce personnage aspire à être intendant. Il désire maîtriser les arts de l'administration et du gouvernement.;Diese Person ist ein angehender Truchsess und strebt danach, die Kunst der Verwaltung und des Regierens zu erlernen.;;Este personaje es un aspirante a administrador que trata de dominar el arte de la administración y la gestión de los asuntos públicos.;;;;;;;;;x
wol_steward_2;Steward;Intendant;Verwalter;;Administrador;;;;;;;;;x
desc_wol_steward_2;This character is an experienced steward, gifted in administration and rulership.;Ce personnage est un intendant expérimenté qui possède des dons en administration et en gestion.;Diese Person ist ein erfahrener Truchsess mit einem Talent für Verwaltung und Regierung.;;Este personaje es un administrador con experiencia, dotado en la administración y dirección.;;;;;;;;;x
wol_raja_dharma;Great Raja Dharma;Grand Raja Dharma;Dharma des großen Radschas;;El gran Rajá Dharma;;;;;;;;;x
desc_wol_raja_dharma;This character has followed the tenets of Dharma and proven to be an exceptional ruler.;Ce personnage suit les principes de Dharma et a montré qu'il était un souverain exceptionnel.;Diese Person folgt den Grundsätzen des Dharma und verfügt über außergewöhnliche Fähigkeiten als Herrscher.;;Este personaje ha seguido los principios de Dharma y ha resultado ser un jefe excepcional.;;;;;;;;;x
nick_the_rash;the Rash;l'Imprudence;der/die Vorschnelle;;la Erupción;;;;;;;;;x
wol_legendary_wisdom;Legendary Wisdom;Sagesse légendaire;Legendäre Weisheit;;Sabiduría legendaria;;;;;;;;;x
desc_wol_legendary_wisdom;The wisdom of this character is renowned throughout the lands.;La sagesse de ce personnage est connue de tous.;Die Weisheit dieser Person ist im ganzen Land bekannt.;;La sabiduría de este personaje es célebre en todas partes las tierras.;;;;;;;;;x
wol_respected_ruler;Respected Ruler;Souverain respecté;Angesehener Herrscher;;Gobernante respetado;;;;;;;;;x
desc_wol_respected_ruler;This character has won respect as a ruler.;Ce personnage s'est fait respecter en tant que souverain.;Diese Person hat als Herrscher an Ansehen gewonnen.;;Este personaje ha ganado el respeto como gobernante.;;;;;;;;;x
EVTDESC_WOL_114;[FromFromFrom.GetTitledFirstName], the target of my seduction, is now my [GetFromFromFromRelation], making further efforts rather pointless.;[FromFromFrom.GetTitledFirstName], que je cheche à séduire, est maintenant mon/ma [GetFromFromFromRelation]. Tout effort supplémentaire est inutile.;[FromFromFrom.GetTitledFirstName], das Ziel meiner Verführung, ist nun mein/e [GetFromFromFromRelation], daher sind weitere Bemühungen unnötig.;;[FromFromFrom.GetTitledFirstName], el objetivo de mi seducción, ahora es mi [GetFromFromFromRelation], haciendo bastante inútiles esfuerzos posteriores.;;;;;;;;;x
EVTOPTA_WOL_114;[FromFromFrom.GetSubjectPronounCap] is mine anyway;[FromFromFrom.GetSubjectPronounCap] est à moi quoi qu'il arrive;[FromFromFrom.GetSubjectPronounCap] habe ich bereits erobert.;;[FromFromFrom.GetSubjectPronounCap] de todos modos es mío/a.;;;;;;;;;x
EVTOPTA_WOL_202;I won't give up just yet;Je n'abandonnerai pas tout de suite;Ich gebe noch nicht auf;;Aún no me rendiré.;;;;;;;;;x
